1018261, Caledonia Farmers Market Association - Danville,https://sites.google.com/site/caledoniafarmersmarket/,,Danville,Caledonia,Vermont,5828
1018318, Stearns Homestead Farmers' Market,http://www.StearnsHomestead.com,6975 Ridge Road,Parma ,Cuyahoga,Ohio,
1009364,106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,106 S. Main Street,Six Mile,,South Carolina,29682
1010691,10th Steet Community Farmers Market,,10th Street and Poplar,Lamar ,Barton,Missouri,64759
1002454,112st Madison Avenue,,112th Madison Avenue,New York,New York,New York,10029
1011100,12 South Farmers Market,http://www.12southfarmersmarket.com,3000 Granny White Pike,Nashville,Davidson,Tennessee,37204
1009845,125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027
1005586,12th & Brandywine Urban Farm Market,,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801
1008071,14&U Farmers' Market,,1400 U Street NW ,Washington,District of Columbia,District of Columbia,20009
1012710,14th & Kennedy Street Farmers Market,,"5500 Colorado Avenue, NW",Washington ,District of Columbia,District of Columbia,20011
1019157,16th Ave Farmers Market,http://16thavefarmersmarket.com,NE 16th Ave & Broadway,Portland,Multnomah,Oregon,97212
1018792,170 Farm Stand,,NE Corner of 170th St. & Townsend Avenue,Bronx,Bronx,New York,10452
1016782,175th Street Greenmarket,https://www.grownyc.org/greenmarket/manhattan/175th-street,175th Street between Wadsworth & Broadway,New York ,New York,New York,10033
1003877,17th Ave Market,http://www.iatp.org/minimarkets,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413
1016784,17th Street Farmers Market,http://enrichmond.org,100 North 17th St.,Richmond ,Richmond City,Virginia,23219
1010968,18th and Christian Farmers' Market,http://thefoodtrust.org/farmers-markets/market/18th-Christian,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146
1009994,18th Street Farmer's Market,,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361
1018365,18th Street Farmers Market,,825 18th Street,Charleston ,Coles,Illinois,61920
1012790,19/27 Community Farmers Market,,NE 7th Ave,Chiefland,Levy,Florida,32626
1012158,21 Acres Farm Market,http://21acres.org,13701 NE 171st Street,Woodinville,King,Washington,98072
1010873,21st Street Farmers Market,,SW 21st and Oakley,Topeka,Shawnee,Kansas,66604
1005309,22nd and Tasker Farmers' Market,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146
1000709,22nd Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732
1011881,25th Street Market - North Logan at the Library Summer 2016,http://northloganmarket.com,475 East 2500 North,North Logan,Cache,Utah,84341
1010966,26th and Allegheny,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,26th Street and W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129
1005299,29th and Wharton Farmers' Market,http://thefoodtrust.org/farmers-markets/market/29th-wharton,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146
1010994,2nd Street Farmers' Market,http://secondstageAmherst.org,194 second street,Amherst,Amherst,Virginia,24521
1009959,2nd Street Market - Five Rivers MetroPark,http://www.metroparks.org,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402
1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,123 W. Illinois ave. ,Morris,Grundy,Illinois,60450
1010775,30A Farmers' Market,,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461
1018656,31 & Main Farmers Market at Campus Town,http://www.31mainfarmersmarket.com,1928 Pennington Road,Ewing,Mercer,New Jersey,8618
1005636,32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218
1005310,33rd and Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121
1018389,38th & Meridian Farmer's Market ,,3808 N Meridian St,Indianapolis,Marion,Indiana,46208
1012280,39 North Marketplace,http://www.39northdowntown.com,Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,89431
1019270,3rd & Curry St. Farmers Market,http://carsonfarmersmarket.com,3rd & Curry St.,Carson City,Carson City,Nevada,89701
1011213,441 Ministries Farm Stand,,441 Parsells Avenue,Rochester,Monroe,New York,14609
1010965,4th and Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133
1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,315 East 4th St.,Larimer,,Colorado,
1006494,52 & Shadeland Avenue Farmers Market,,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226
1005304,52nd and Haverford Farmers' Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139
1000060,57th Street Greenmarket,http://www.grownyc.org,W 57 St. & 9 Ave,New York,New York,New York,10019
1005306,58th and Chester Farmers' Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143
1018965,61st Street Farmers Market,https://experimentalstation.org/market,6100 S. Blackstone Ave,Chicago,Cook,Illinois,60637
1000061,79th Street Greenmarket,http://www.grownyc.org,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024
